Datum;Grund der Ausgabe;Betrag
31.10.2025;Kontoführungsgebühren;-6,70 €
28.10.2025;Überweisungskosten;-30,00 €
27.10.2025;Suppe fürs Patentreffen;-69,46 €
14.10.2025;1&1 Internetkosten;-6,00 €
13.10.2025;1&1 Internetkosten;-3,00 €
30.09.2025;Kontoführungsgebühren;-5,00 €
29.09.2025;Überweisungskosten;-30,00 €
12.09.2025;1&1 Internetkosten;-6,00 €
11.09.2025;1&1 Internetkosten;-3,00 €
31.08.2025;Kontoführungsgebühren;-5,00 €
28.08.2025;Überweisungskosten;-30,00 €
12.08.2025;1&1 Internetkosten;-3,00 €
12.08.2025;1&1 Internetkosten;-6,00 €
31.07.2025;Kontoführungsgebühren;-5,00 €
29.07.2025;Überweisungskosten;-30,00 €
14.07.2025;1&1 Internetkosten;-1,47 €
11.07.2025;1&1 Internetkosten;-3,00 €
30.06.2025;Überweisungskosten;-30,00 €
30.06.2025;Kontoführungsgebühren;-7,70 €
12.06.2025;1&1 Internetkosten;-21,62 €
11.06.2025;1&1 Internetkosten;-3,00 €
31.05.2025;Kontoführungsgebühren;-5,00 €
26.05.2025;Überweisungskosten;-30,00 €
13.05.2025;1&1 Internetkosten;-21,62 €
30.04.2025;Kontoführungsgebühren;-5,00 €
28.04.2025;Überweisungskosten;-30,00 €
15.04.2025;Girocard;-12,00 €
14.04.2025;1&1 Internetkosten;-21,62 €
31.03.2025;Kontoführungsgebühren;-7,10 €
31.03.2025;Überweisungskosten;-30,00 €
12.03.2025;1&1 Internetkosten;-21,62 €
04.03.2025;Überweisungskosten;-30,00 €
28.02.2025;Kontoführungsgebühren;-5,00 €
12.02.2025;1&1 Internetkosten;-15,14 €
31.01.2025;Kontoführungsgebühren;-5,00 €
29.01.2025;Überweisungskosten;-30,00 €
14.01.2025;1&1 Internetkosten;-15,14 €
30.12.2024;Überweisungskosten;-30,00 €
30.12.2024;Kontoführungsgebühren;-8,30 €
12.12.2024;1&1 Internetkosten;-15,14 €
02.12.2024;Rückbuchung Kosten;-9,00 €
29.11.2024;Überweisungskosten;-30,00 €
29.11.2024;Kontoführungsgebühren;-5,00 €
12.11.2024;1&1 Internetkosten;-15,14 €
