Datum;Grund der Ausgabe;Betrag
26.05.2025;6. Brunnen: 2. Abschlagszahlung;-4.000,00 €
26.05.2025;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
26.05.2025;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
26.05.2025;1 warme Mahlzeit Juni 2025;-2.005,00 €
28.04.2025;6. Brunnen: 1. Abschlagszahlung;-3.500,00 €
28.04.2025;Schulgarten École Catholique saint-pierre de Bamougoung;-500,00 €
28.04.2025;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
28.04.2025;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
28.04.2025;1 warme Mahlzeit Mai 2025;-2.005,00 €
31.03.2025;Brunnenwartung;-152,00 €
31.03.2025;Prüfungsgebühr Diana;-240,00 €
31.03.2025;Renovierung Haus der Sonne;-840,00 €
31.03.2025;Schulgarten École Catholique saint-pierre de Bamougoung;-500,00 €
31.03.2025;Schulgarten École publique Bameboro;-500,00 €
31.03.2025;Unterstützung Waisenhäuser;-2.000,00 €
31.03.2025;Zahnhygiene;-150,00 €
31.03.2025;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
31.03.2025;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
31.03.2025;1 warme Mahlzeit April 2025;-2.005,00 €
04.03.2025;Kleidung;-2.000,00 €
04.03.2025;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
04.03.2025;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
04.03.2025;1 warme Mahlzeit März 2025;-2.005,00 €
29.01.2025;Schulgeld;-2.841,00 €
29.01.2025;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
29.01.2025;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
29.01.2025;1 warme Mahlzeit Februar 2025;-2.005,00 €
30.12.2024;Weihnachtsfeier Mbouda;-400,00 €
30.12.2024;Brunnen: Wartung;-152,00 €
30.12.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
30.12.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
30.12.2024;1 warme Mahlzeit Dezember 2024;-2.005,00 €
29.11.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
29.11.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
29.11.2024;1 warme Mahlzeit Dezember 2024;-2.005,00 €
30.10.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
30.10.2024;med. Versorgung Rodanice;-35,00 €
30.10.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
30.10.2024;1 warme Mahlzeit November 2024;-2.005,00 €
01.10.2024;Ausbildung Cheila, Dadiane, Blondelle;-150,00 €
01.10.2024;Deutschkurs Diana;-685,00 €
01.10.2024;Deutschkurs Marlene;-495,00 €
01.10.2024;Brunnen: Wartung;-152,00 €
01.10.2024;Zahnhygiene;-150,00 €
01.10.2024;med. Versorgung Rodanice;-35,00 €
01.10.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
01.10.2024;1 warme Mahlzeit Oktober 2024;-2.005,00 €
17.09.2024;Schulgeld;-2.841,00 €
17.09.2024;Kleidung;-2.000,00 €
17.09.2024;med. Versorgung Rodanice;-35,00 €
17.09.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
17.09.2024;1 warme Mahlzeit September 2024;-2.005,00 €
28.06.2024;med. Versorgung Rodanice;-35,00 €
28.06.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
28.06.2024;1 warme Mahlzeit August 2024 (2 Monate zusammen, um Überweisungskosten zu sparen);-2.005,00 €
28.06.2024;Brunnen: Wartung;-152,00 €
28.06.2024;med. Versorgung Rodanice;-35,00 €
28.06.2024;med. Versorgung Carles Christ + Cabrel Désiré;-30,00 €
28.06.2024;1 warme Mahlzeit Juli 2024;-2.005,00 €
20.06.2024;MUPECI P/C DIMENSION BTP SARL (Architekt);-3.846,00 €
